,18hr_early,18hr_earlymid,18hr_late,18hr_latemid,3min_early,3min_earlymid,3min_late,3min_latemid,42hr_early,42hr_earlymid,42hr_late,42hr_latemid,49p5hr_early,49p5hr_earlymid,49p5hr_late,49p5hr_latemid,9hr_early,9hr_earlymid,9hr_latemid
"(2,3-dihydroxy-3-methylbutanoate)",18559.00781,70304.58097,434578.9734,416443.3594,1.0,460.9148926,293.6053345,137.9354614,9310.292615,57261.97904,540666.6813,737409.7797,57205.32463,167448.2324,821189.5563,376365.875,68.12459106,98720.52243,106211.7866
"(2,5-diaminohexanoate)",2818005.938,2765782.953,4246048.625,3649969.85,2782242.25,1883228.25,4039221.5,2531813.5,3086052.5,2649203.5,6305377.7,6139353.5,5842490.313,3627547.8,12080544.2,6938167.5,1217995.294,1757143.45,1858817.833
(3-hydroxypyridine),8118056.25,17206076.13,6567773.375,8778404.2,2764132.25,3014543.813,4395256.5,3817224.063,5199015.75,23994691.5,81892669.0,11794395.5,17578552.5,13553115.1,59605488.8,31031506.7,5701840.3,6778304.6,7913218.5
(3-methyladenine),31575138.25,59127978.0,44634519.0,35652469.2,3151923.688,4224009.313,14376340.5,10516080.88,9924625.375,23158721.33,33010090.2,25456433.5,4164767.563,36506855.4,9417872.7,16850683.98,36544924.8,54461337.6,74817388.0
(4-oxoproline),31982087.0,163220696.0,70138710.0,36425721.6,145094920.0,150345346.5,335056264.0,261704693.0,7295747.0,12458802.92,18842555.7,15256443.0,4504692.375,13284054.95,9333631.8,8708761.65,144491739.2,287291443.2,395621642.7
"(5,6-dihydrothymine)",13566340.88,31458363.0,16898679.0,27575224.8,10668504.06,9343810.875,22825471.5,37658588.25,9029176.0,8567759.0,26592268.3,15669063.0,4497692.5,10543409.9,9932010.35,32835804.65,11836450.8,22711707.8,37060000.0
(alanyl-leucine),7395746.875,37733556.0,11965228.25,10018532.2,8863774.875,10341774.5,32410061.0,24760371.38,5980736.5,5357354.083,20789234.0,6258151.5,5940200.875,15113537.6,14130386.2,8726617.5,45004310.0,79808008.4,97609236.0
(dehydroalanine),730914.6094,6587122.719,576641.1485,495780.075,9415865.938,9637489.688,18298870.5,9830850.266,306593.8907,581461.2708,788643.0063,577650.7188,397799.3985,806953.9125,980376.775,631683.3063,2712926.0,8193841.825,7109939.625
(glycero-3-phosphoethanolamine),7026060.266,4990136.813,1372290.102,989588.4719,833840.7031,764415.0313,1154312.672,739865.793,1002609.422,645602.7604,375167.0938,628261.0469,3564947.281,6111718.35,1317931.425,2064355.95,3399507.95,3242565.5,2073130.396
(indoleacrylate),2332408.094,38179521.34,24191297.63,28123772.86,7863318.063,9504608.188,38240052.0,27996851.75,132691.7071,198811.806,913139.1636,817105.7032,282478.5196,3176995.122,439062.3168,269400.7773,28984593.6,83266097.2,132124874.7
(leucyl-leucine),7972129.75,100420639.0,20594535.25,15635617.8,19748375.25,26736608.75,75228906.0,61208638.88,736288.3125,2751590.927,24658886.45,2647016.25,5325812.125,33802151.3,10391784.7,7029230.95,113891101.6,191332692.8,218872552.0
(lipoate),73089.16642,414555.0797,753258.9484,572487.55,3486.231458,32281.37109,9470.638332,91649.32118,14785.69209,37369.81074,108435.3242,94367.77812,12814.45176,30202.15859,99836.37031,68589.66524,40641.0418,403263.5469,205238.8422
(N6-acetyl-lysine),242598172.0,2032003008.0,920299200.0,961183257.6,405487712.0,505415832.0,1028776432.0,540606152.0,588510912.0,663145994.7,1795786138.0,1197165952.0,133906340.0,1591878091.0,2476219085.0,688954249.6,510852150.4,1466164813.0,1844444160.0
(queuine),5629947.1,4569287.45,3674797.2,2744760.3,10691936.4,11260668.5,9235185.2,9129995.4,5659594.7,4361372.4,2326836.45,2748984.325,6272654.0,4294627.75,3030533.675,3403967.925,6919534.8,5296515.0,4408161.0
2-aminobutanoate,221783.7109,268899.0703,454781.6375,307561.1563,51210.98438,92254.07814,176840.6328,102263.6656,112709.7938,148471.3609,490045.0563,291148.2063,82952.58907,119817.3781,258516.2797,313301.5313,124447.1813,191926.7172,308073.3813
2-oxoglutarate,7299423.805,4147330.3,3288865.95,7476113.55,81265.67032,224126.3516,705553.7438,1091990.221,267252.6609,2520273.006,970613.1437,3913232.013,59114.84297,1274978.791,166422.2531,174181.8219,1761341.075,10823315.6,15394846.8
2'-deoxyguanosine,185513.6893,306095.8063,279264.3672,398434.5125,23852.8125,138376.0406,246917.3766,275762.8543,47843.35391,186573.4516,290135.4875,98892.39688,49135.33945,148642.3406,156568.7578,148749.3047,153822.5516,313829.1859,702910.225
2'-deoxyuridine,327.5965576,8026180.407,423220.8063,240899.6066,102968.8789,997470.9609,2839069.775,1642790.427,18239.89824,3849.145801,30238.34336,54786.35469,2877.4979,25703.7168,43236.81533,34258.43398,31312.48965,240960.4703,11778486.25
"3',5'-cyclic-AMP",6639374.188,10101674.06,6753384.75,7654377.75,214748.001,226908.167,2178946.813,769361.125,2182376.438,1866650.708,6741683.5,5496461.25,2840627.5,13211677.88,11212094.3,4172578.4,2635200.25,7329605.8,9942466.5
4-guanidinobutanoate,389706794.0,841861112.0,840220224.0,1025601075.0,98487329.0,132031650.0,431654148.0,209832368.0,235339220.0,495317648.0,1457286668.0,2621115648.0,286759812.0,217076142.4,1049231992.0,659587529.6,596974873.6,916157708.8,1403908651.0
4-hydroxy-proline,13899458.75,54761625.25,29942923.5,36179311.6,2484050.969,3102781.688,11527947.0,4956742.75,9045210.0,12957918.67,23202794.8,11760801.0,3133998.0,14025298.65,4991468.15,16160553.35,8300092.8,23085869.4,32287804.67
7-methyladenine,8553436.125,11832180.5,27820146.0,14922971.0,4396582.313,2482292.188,6876107.125,3395601.125,15667698.0,19309283.33,63232151.2,44516428.0,39709349.0,55340664.0,123016548.8,47103368.4,7344856.35,10689007.8,14517512.17
adenine,2192243016.0,2548913792.0,1475108368.0,794554176.0,997245344.0,905052896.0,1916438336.0,1136206976.0,416083068.0,942871722.7,980309350.4,596877056.0,354176616.0,1688277248.0,1133779213.0,960578908.8,1499301414.0,2081569306.0,2401511339.0
adenosine,99317744.0,160070688.0,204000230.0,100911625.6,2774461216.0,2345038144.0,3744201536.0,1963006312.0,22421635.0,27398727.33,53350097.6,42926748.0,110504272.0,201040892.0,268654126.4,159168132.8,201649020.8,187903944.0,247140986.7
alanine,27863.48594,2674305.637,7106755.978,406996.7109,86579.66446,478440.6711,1545993.606,1334698.984,19711.62442,32185.00137,514487.118,52877.71914,16596.39043,42376.67617,48542.80977,61608.68203,133118.7688,445938.7375,5007883.306
aminoadipic acid,1757051.489,729292.7016,2756173.65,3586957.25,2601.774316,14347.90154,47213.64229,44282.59512,423630.7275,636985.7934,2258140.401,2273757.625,3516.043085,151376.542,222798.4676,1204262.412,79836.79414,829896.3734,1341712.534
arginine,28905911.5,67377589.0,126065128.0,135604434.0,42559571.0,45932231.0,141800658.0,65737369.0,18556520.0,20968938.67,32697324.4,22507358.0,18788196.5,35852352.0,26728138.8,24465035.4,75037374.4,154154096.0,343531073.3
asparagine,3830204.688,14923614.75,7397544.0,3927657.075,16073191.31,13354026.63,33357831.0,50617540.31,1328083.438,2490297.708,3013992.85,1664496.938,1714421.281,3745788.95,2972201.0,2558912.175,13446810.6,31723213.2,36248618.5
aspartate,7941530.25,82056004.06,5229990.813,3587950.975,117564375.5,113339072.0,222749632.0,128782939.8,2136025.0,3226390.5,8534007.85,5205050.5,2907963.969,7867873.5,10282667.05,5286022.95,32572437.4,101241203.2,83110649.67
betaine,95580754.0,458732282.0,194678492.0,216894284.8,110978622.0,132449380.0,286049996.0,117601236.0,96551260.0,217839154.7,402810348.8,271070800.0,175993320.0,2226002640.0,795200339.2,423683924.8,143929358.4,306537628.8,452385701.3
biotin,14035.25234,49457.22236,9691.624145,8081.902734,39815.66094,77424.8043,134479.5258,168475.1783,10324.38076,7332.421094,6213.06438,4950.713525,10125.22383,11409.04902,4262.209412,6268.893701,8022.20625,5327.626904,217893.105
carnitine,45589429.0,155049890.0,94556014.0,112987106.4,35366457.13,61009785.5,184504906.0,49562486.75,32262403.0,64635958.67,121681113.6,40629628.0,39668420.0,171268888.0,207014891.2,121490810.8,36525704.0,147735513.6,131755773.3
citrulline,19694.16934,274096.3242,771792.9359,185089.4336,115627.3227,208083.6469,440848.5219,399737.866,5620.583862,6621.221632,181701.9,9926.008398,1905.802918,28873.37638,11913.89248,22093.52305,48268.16152,176570.2094,516149.1875
creatinine,4410336.125,5394190.875,4929570.375,4429884.5,5535494.25,4754222.938,4716394.25,4678385.688,4008912.75,3209061.167,5303368.05,4064970.125,5097349.375,5947984.2,10026626.2,4690286.9,4878258.55,4793239.6,6181552.167
cytidine,31313.06445,659914.3082,76644.29844,51104.56015,267369.5469,573464.1267,1196651.908,1397725.052,27539.1918,25587.05977,40575.47344,21655.23672,46743.85,41331.1457,47163.54102,36557.0543,33453.74258,50263.51094,1736700.743
cytosine,134887559.0,221016226.0,612431412.0,91623096.2,119763811.0,134906600.0,354040608.0,176843136.0,11549772.0,37688826.0,202285802.1,451627176.0,35434568.5,120707958.4,86568579.6,33994144.4,297503100.8,344414270.4,654741216.0
decanoate,2486213.4,1961456.625,1612188.875,1452663.45,3868516.1,4137790.55,3608851.25,3808527.55,2724992.5,2655067.9,1341579.825,1604490.675,3422286.3,3298481.45,2175803.2,1903420.288,2312795.3,1851148.425,1802250.85
disaccharide (maltose),8806877.589,3917755.825,4457996.419,54544938.81,2256335.913,29550821.48,32828104.94,152033845.6,69826.63515,78079.3336,180737.6641,147815.9547,43008.29141,86616.03595,108100.2391,227974.0859,4269318.138,20066267.8,59821243.0
ergothioneine,1056430.711,2758473.75,8028399.906,1763023.4,16401153.08,29053500.69,54111216.56,19061208.72,449740.0625,160687.9375,852212.6844,491552.0625,297093.0938,1014485.953,1865153.706,579949.7016,1660487.425,2866153.125,4216411.583
fumarate,4218530.246,3176848.109,3226515.6,6374136.6,70533.49687,203855.8727,256567.0313,1679539.053,859982.559,3970526.291,1480204.913,6352431.356,41203.8836,1321063.324,168571.8766,390611.6438,947433.2375,3851180.863,5045514.25
glutamate,4282154.309,10537527.89,11821100.1,1382038.913,3071507.125,12098670.05,18677732.8,16625141.35,215373.6156,486152.0969,864455.0469,343365.7188,172290.6875,405923.0625,417673.9188,353060.2313,2627682.931,11987699.5,28993459.88
glutamine,57124464.75,100944544.0,184404484.0,63279340.4,75076050.0,78783764.5,207680292.0,240790108.5,4406568.375,4876707.25,8425430.6,4032758.5,3485976.063,12081397.9,7940763.9,6779326.85,79768640.0,147458620.0,184958828.0
guanine,378470748.0,523492336.0,303479716.0,206344294.4,33866250.5,51937843.0,169699330.0,98608990.0,37056230.38,121371136.0,204068803.6,56624460.0,32363846.5,62799250.2,155070930.9,96346440.3,279728611.2,407494656.0,544936277.3
guanosine,7297.488526,306752.2122,68216.59571,55946.58106,165673.0297,566776.2156,1006066.57,953345.3672,6972.40415,7511.463818,26712.66606,12209.10859,10031.11309,18828.38271,41477.93555,27340.22412,15392.87812,30555.13828,774431.65
hypoxanthine,19839239.42,34264734.8,75561948.4,46553479.2,508596.7625,1425797.694,3481677.144,3003448.459,13799874.03,32529544.8,59315225.8,26464027.7,237780.761,5959963.9,22139444.85,17422999.71,9413357.9,33625446.8,54003068.6
inosine,30408.01782,1747710.57,156555.1156,255289.8031,200248.1328,850923.6641,1013621.3,1959570.793,10804.87502,36291.46094,67203.3648,91856.71992,3227.199927,19947.5209,39657.92676,133644.8401,16614.6708,83155.4004,3069826.598
isoleucine,2050012471.0,822035295.5,15534967.5,14488509.8,117028996.3,126609055.0,500740408.0,182074969.5,8350104.5,11767760.67,72402204.2,84359414.0,11655481.5,17726428.4,11507010.0,12513549.4,98049806.4,48477950.0,548548594.7
lactate,6024068.863,52304795.9,94411608.0,80427064.2,1785392.55,3828330.6,8294927.0,2535693.125,2562389.475,7340255.85,52910415.65,61842170.8,1212756.075,1546482.9,45522173.9,62894057.53,3316645.825,15047578.1,17544868.4
laurate,2017409.325,1902214.1,1473190.0,1406168.8,3305807.6,3335792.95,3099909.75,3062284.15,2178413.9,2436237.225,1376635.538,1763783.825,2292949.4,2399695.875,1940271.775,1938180.4,2212798.625,1839203.3,1747736.25
leucine,51443384.5,1158762678.0,23479040.0,13750782.6,161249644.8,164162652.0,790635912.0,110312472.5,11077086.0,10740714.33,113386045.0,60415054.0,18477168.5,27675668.8,28023388.4,21141109.6,96326154.4,85771348.8,839918669.3
lysine,9118182.75,15975689.25,17359110.5,17657790.8,28451429.5,70277678.0,29501812.0,21557172.25,7295822.5,6684833.833,20712616.8,6881551.0,5656130.75,15045355.7,9748115.2,11542567.9,23055133.6,24914458.6,36411724.67
methionine,8027285.625,158186167.5,12530324.0,5198241.35,10777251.94,15083033.13,68423166.5,26299422.13,2686989.156,2351197.667,107723090.7,6779332.0,1557079.203,5388610.475,6285485.8,3307465.775,27710241.0,59164455.2,150633349.3
monosaccharide (glucose),1172856.189,1844807.531,1305138.45,2474715.9,29666.35117,291250.0797,1095402.689,895530.3398,795967.7779,2121546.856,2783827.85,4450982.525,17608.10059,1246409.68,2885309.375,2050478.823,342865.4594,1652581.525,2945922.188
myristate,10257583.3,9182365.1,7320690.1,6107868.9,18190995.6,17479787.6,16314038.4,16601130.0,9612301.5,8822154.6,6267574.3,7914818.0,9401871.2,7317717.9,6826818.7,5896386.6,10390105.6,8628407.7,8117998.0
N-acetyl-glutamate,3614005.869,5760105.144,9700563.0,18968965.15,239744.2172,2578862.848,3638355.416,3991431.759,2323361.503,4195229.525,2095227.716,5356787.65,278185.5645,1132850.269,1306870.613,2572965.363,719227.8547,4796224.0,12662878.8
N-acetylornithine,14085511.88,89543424.0,67171681.5,51544530.6,11890565.5,18551710.75,40686370.0,15363869.13,7136365.375,8115450.083,65879258.4,6810677.75,5220645.0,26407061.9,27156904.8,17369349.15,17476517.1,75763200.8,84910544.0
nicotinamide,41119884.0,28573149.25,41337546.25,26327273.0,39446091.0,28213174.0,56479025.0,28450524.0,10939044.0,10423805.83,11380280.2,19016967.0,14652899.5,15189956.26,31903552.6,16152650.0,59407242.4,92853769.6,113992920.0
nicotinate,374179.4,485247.9156,655011.2938,847138.325,72665.73047,208131.2305,465291.9563,332667.0727,482190.7313,964259.1969,1250840.088,2221019.0,485402.5031,976617.6125,2887183.65,1969857.538,60121.23438,225320.3266,297114.85
oleate,955734.6125,1441727.9,1382145.213,1791113.338,1141759.45,1013554.525,894387.8001,1015091.113,521124.05,710419.9875,1693944.525,1167045.838,841422.025,955284.8938,1284746.2,970468.575,1170349.6,1603995.575,1648760.675
palmitate,105837897.6,95013348.8,84141017.6,73167218.4,165160553.6,158510246.4,150731254.4,155626153.6,97703182.4,93859100.8,78906683.2,88584843.2,100718424.0,83117273.6,80788993.6,73000140.8,106499568.0,91830809.6,89734473.6
palmitoleate,2248348.2,12509965.25,7940981.075,7956119.1,1224232.15,2386563.15,4098812.763,1953223.95,385087.8094,383457.6031,2497579.8,2567826.275,488527.0813,1350388.825,1425838.788,1276231.544,4601510.2,15880692.4,10442504.0
pantothenate,89544601.5,175977818.0,132037220.0,165509352.0,3147826.656,5473330.875,18908850.5,8971354.375,95070136.0,175746066.7,392289092.8,327843160.0,45856197.5,357115672.2,617403910.4,263407734.4,28359610.4,57806096.8,75441706.67
phenylalanine,24721.97217,12364542.23,5666559.869,3913328.984,152193.5477,690372.5561,2052885.547,2220847.141,13687.02725,45545.4037,5960786.958,69260.67617,11316.71943,133679.4776,55747.37305,45906.26426,1487169.411,8934382.05,32292174.39
proline,20992032.25,95099881.0,96292878.5,94218990.0,48863741.5,48254394.5,134924838.0,68649658.75,11239098.0,23272185.67,25299077.6,27904022.0,14821475.5,24446361.8,31106550.6,17939760.4,24779432.4,31341144.4,104062021.3
pyridoxine,4920505.25,5424110.75,6183107.5,5194241.3,1459842.672,1575729.844,2810577.313,2103452.188,11304249.5,15272777.5,12335872.4,91308260.0,26644529.25,33227682.0,48708015.0,24282651.3,2856004.45,3922711.1,4347935.083
pyroglutamate,1126649.877,1534802.897,3840933.2,4811027.388,394517.3469,880774.4063,1846369.738,2359035.434,195509.45,933577.1656,874825.3156,875866.825,71755.22031,193343.4016,138306.1469,470478.8656,290141.4344,1928640.863,4393822.775
raffinose,2925671.089,3287045.375,10208114.58,22396411.5,566846.8188,2474203.153,4312293.588,16630428.05,84760.4498,202101.432,712383.4125,362589.4406,44485.63496,102734.1985,110978.1883,173599.6543,2082748.5,5171451.75,16694923.4
salicylate,9958679.2,7806770.7,6653538.6,8854859.8,4618607.4,5054321.45,4555815.7,3844936.9,14684210.3,14421406.8,13771505.2,17233740.8,13354007.75,11925727.43,21530172.4,16103773.8,8070221.2,5014989.2,5269926.0
serine,10161350.0,72226296.25,11149152.63,11693715.5,19001918.63,21124178.88,63828011.0,29048626.25,3362835.75,4433442.5,5262850.15,6005327.5,3413385.313,7189765.65,5003366.65,4106207.25,17673774.4,36973595.0,81456627.33
stachyose,1635820.462,3463877.05,9424552.8,9307545.7,608514.2438,3406955.65,5518530.759,4899066.577,34596.61074,114749.3426,659678.4281,1266809.448,15847.74551,46295.53946,56534.10898,136146.1967,1444160.497,3538248.85,7001224.3
stearate,191262444.8,176060444.8,157269664.0,139654593.6,281944908.8,273308364.8,261015126.4,271517766.4,172214278.4,165539187.2,141472452.8,160302696.0,173924176.0,148949619.2,144985691.2,130949436.8,192738240.0,168262745.6,174059523.2
succinate,31991306.58,37193581.2,35890640.2,59877529.2,3077373.825,6859918.425,12786345.2,23294365.03,4118413.138,24273109.58,14996591.1,36848062.4,472562.0438,6908511.463,4213415.7,7773205.05,15116361.95,54410146.8,68021032.8
taurine,5158336.688,4981971.25,7158805.938,5306108.5,3370099.406,2778817.063,5367164.5,3444688.563,8713591.875,9876442.5,13572616.3,72673016.0,21706884.75,54934466.8,68640535.8,14372983.7,3277158.0,4949182.95,4171559.667
threonine,35261.03887,1484473.603,645364.0203,106428.9078,90339.28634,283678.6953,772584.1578,873383.9465,17703.92617,29181.46211,179484.8293,32111.06641,12577.01777,28395.43535,34821.96602,34237.25605,158238.4613,396532.3359,2012064.542
thymidine,1552496.15,1933544.65,481150.4313,120363.0375,34397.9375,819120.125,1503310.125,1031304.075,0.0,0.0,4117462.0,0.0,0.0,8664553.6,0.0,0.0,7348.508594,1509582.6,5089669.319
thymine,4882161.534375,15169666.5,20865250.7,19530305.6,109349.7734375,246399.0375,448543.8,253399.2765625,3989909.51875,8317165.8375,19599532.3,9213899.8625,233091.06093760004,8715251.68125,8598488.478125,1452559.309375,5123419.2,11438349.9,11331274.6
tryptophan,3880187.813,67037417.0,39651101.75,49654224.4,13088307.0,16385973.88,65047095.5,46597109.88,300802.0,495290.2708,1894473.5,1648272.563,574471.2656,6172212.213,1101640.575,576164.8844,49754577.0,141850663.6,220618952.0
tyrosine,21327.63672,5562167.088,16368842.9,10089340.15,194658.7938,743442.9937,1710039.888,1737798.141,36097.17812,55166.1457,4303875.066,58414.97188,27657.1082,91775.75742,90577.50781,81706.42266,1965698.213,13680010.7,25505184.15
uracil,86759694.0,132533950.4,125305379.0,133451476.8,4125935.2,13107718.3,35204637.6,17512613.65,50935301.76,88900175.3,120499462.1,69221727.06,1030888.453,86402320.4,34207943.01,499514.9875,65034268.4,120308734.4,108816756.8
urate,62559.74453,71557.53202,278540.8969,256581.2969,29208.00957,93451.05626,3069240.488,231523.4846,148125.2924,210863.0281,620930.65,584184.35,91435.59531,370205.1531,1374207.406,584321.825,40786.11817,94195.23985,146691.7937
uridine,155481.4484,7533056.891,1060865.888,478292.7031,3439209.0,15350040.6,21964584.45,22551330.73,103822.9072,92155.88634,198400.6281,149123.1914,152577.2984,237257.0953,496181.3125,398349.4,106934.832,301903.3688,23769767.68
urocanate,6364446.8,6862071.9,8808024.4,10524465.6,181869.3578,243979.5844,200348.925,222793.6844,2285158.363,3584922.725,9503982.3,5701000.1,3054061.65,5807147.15,13003412.85,9910207.1,2216264.625,3911638.075,4817844.2
valine,83965.00001,13818424.72,21012560.19,126388.9594,201910.1141,1135240.5,4489668.356,2571421.914,60014.10234,84272.35391,1109175.263,110522.1906,58987.63828,93203.56954,178001.5985,110781.6109,93602.14531,224102.1063,16928788.55
xanthine,13328309.3,23180892.3,64820107.6,65239143.2,142192.3852,454639.2336,1769415.418,437041.9961,18055989.58,36761261.0,101180416.0,104235988.8,3369387.82,44224468.8,111962712.0,66325417.11,3693085.363,26843470.1,37008337.0
xylitol,1263282.631,1071575.213,1546167.863,3069008.375,56899.5,118361.9477,445519.25,1480906.902,738026.0246,1486881.613,1976039.256,2812511.575,181878.7625,2256694.563,1777920.923,1606142.892,717907.1031,1515462.538,2434361.375
